loop,time_s,sample,max_samples
78, 0.038293000077828765, 38, 2001
79, 0.03846509999129921, 38, 2001
80, 0.03863620001357049, 38, 2001
81, 0.038972800015471876, 38, 2001
82, 0.03915289998985827, 39, 2001
83, 0.03932460001669824, 39, 2001
84, 0.03950559999793768, 39, 2001
85, 0.03968739998526871, 39, 2001
86, 0.040024599991738796, 39, 2001
87, 0.04020429996307939, 40, 2001
88, 0.04037639999296516, 40, 2001
89, 0.04055130004417151, 40, 2001
90, 0.040723999962210655, 40, 2001
91, 0.04107210005167872, 40, 2001
92, 0.04125090001616627, 41, 2001
93, 0.041427999967709184, 41, 2001
94, 0.041599799995310605, 41, 2001
95, 0.041774500044994056, 41, 2001
96, 0.04215440002735704, 41, 2001
97, 0.042356800055131316, 42, 2001
98, 0.042545099975541234, 42, 2001
99, 0.042743499972857535, 42, 2001
100, 0.04308630002196878, 42, 2001
200, 0.06908050004858524, 68, 2001
300, 0.09142850001808256, 91, 2001
400, 0.12733649997971952, 127, 2001
500, 0.16193190007470548, 161, 2001
600, 0.19578219996765256, 195, 2001
700, 0.22647270001471043, 226, 2001
800, 0.2604977000737563, 260, 2001
900, 0.2853405000641942, 285, 2001
1000, 0.3079896999988705, 307, 2001
1100, 0.3288135000038892, 328, 2001
1200, 0.3527439000317827, 352, 2001
1300, 0.37502899998798966, 374, 2001
1400, 0.3945317000616342, 394, 2001
1500, 0.4181042000418529, 418, 2001
1600, 0.44320320000406355, 443, 2001
1700, 0.46303220000118017, 462, 2001
1800, 0.485327500035055, 485, 2001
1900, 0.5077829000074416, 506, 2001
2000, 0.5301599999656901, 530, 2001
2100, 0.5556081000249833, 555, 2001
2200, 0.5810607000021264, 580, 2001
2300, 0.6097250999882817, 609, 2001
2400, 0.6306067999685183, 630, 2001
2500, 0.6566951000131667, 656, 2001
2600, 0.6842476000310853, 684, 2001
2700, 0.7084275999804959, 708, 2001
2800, 0.728221100056544, 728, 2001
2900, 0.7517225999617949, 751, 2001
3000, 0.776546600041911, 776, 2001
3100, 0.7972582000074908, 797, 2001
3200, 0.8213221000041813, 821, 2001
3300, 0.8444725000299513, 844, 2001
3400, 0.8664397000102326, 866, 2001
3500, 0.887601500027813, 887, 2001
3600, 0.9116354000288993, 911, 2001
3700, 0.9315144000574946, 931, 2001
3800, 0.951558000058867, 951, 2001
3900, 0.9706504000350833, 970, 2001
4000, 0.9931325999787077, 993, 2001
4100, 1.0124249999644235, 1012, 2001
4200, 1.03166700003203, 1031, 2001
4300, 1.0506004999624565, 1050, 2001
4400, 1.0735075999982655, 1073, 2001
4500, 1.0980495000258088, 1097, 2001
4600, 1.1325943999690935, 1132, 2001
4700, 1.15125460003037, 1151, 2001
4800, 1.1702833999879658, 1170, 2001
4900, 1.189331299974583, 1189, 2001
5000, 1.2091070000315085, 1208, 2001
5100, 1.2295440000016242, 1229, 2001
5200, 1.2545509000774473, 1254, 2001
5300, 1.2762178999837488, 1276, 2001
5400, 1.3021569000557065, 1301, 2001
5500, 1.3301002000225708, 1329, 2001
5600, 1.3549720000009984, 1354, 2001
5700, 1.383114599972032, 1382, 2001
5800, 1.4092624000040814, 1409, 2001
5900, 1.4286931999959052, 1428, 2001
6000, 1.4514697999693453, 1451, 2001
6100, 1.474099999992177, 1474, 2001
6200, 1.495011799968779, 1494, 2001
6300, 1.5168112000683323, 1516, 2001
6400, 1.5383028000360355, 1538, 2001
6500, 1.5576757000526413, 1557, 2001
6600, 1.5780511000193655, 1577, 2001
6700, 1.5973603000165895, 1597, 2001
6800, 1.6192789999768138, 1618, 2001
6900, 1.6400222000665963, 1639, 2001
7000, 1.659163200063631, 1659, 2001
7100, 1.6785497000673786, 1678, 2001
7200, 1.6986692000646144, 1698, 2001
7300, 1.7221009000204504, 1721, 2001
7400, 1.7453194999834523, 1745, 2001
7500, 1.7683430999750271, 1768, 2001
7600, 1.799299200065434, 1799, 2001
7700, 1.8323174000252038, 1832, 2001
7800, 1.8575510999653488, 1857, 2001
7900, 1.8876316000241786, 1887, 2001
8000, 1.9140408000675961, 1913, 2001
8100, 1.9356419000541791, 1935, 2001
8200, 1.9597541000694036, 1959, 2001
8300, 1.9794602000620216, 1979, 2001
8400, 1.9996022999985144, 1999, 2001
